rank,date,prediction_date,code,name,price,change_pct,score,context_source,ret_1d,ret_3d,ret_5d,ret_10d,ret_20d,volume_5_vs_20,close_above_ma20,ma5_gt_ma10,ma10_gt_ma20,near_high20_pct,above_low20_pct,up_days_5,volatility_10d,amplitude_1d,market_first_count,market_2plus_count,market_zt_count,prev_market_first_count,prev_market_2plus_count,prev_market_1to2_rate,open_gap_pct,open_gap_band_high,open_gap_band_mid,open_gap_band_low,open_to_close_pct,lower_wick_ratio,intraday_pullback_pct,open_position_in_day,amplitude_vs_20d,volume_vs_20d,near_limit_open,close_near_high
1,2026-09-22,2026-09-23,002290,禾盛新材,77.85,10.004239084357769,0.4502221241559218,previous_trading_day_state,10.004239084357769,20.697674418604638,25.808015513897843,15.128660159716034,25.443119561714454,1.1115024344528623,1,1,1,0.0,25.848690591658574,4,5.633624349512975,0.0,36,23,59,73.0,21.0,0.2191780821917808,10.004239084357769,1,0,0,0.0,0.0,0.0,0.0,0.0,0.5357737889051648,1,1
2,2026-09-22,2026-09-23,600770,综艺股份,6.63,9.950248756218905,0.43390615253804576,previous_trading_day_state,9.950248756218905,18.392857142857146,19.244604316546777,12.372881355932197,30.76923076923075,1.187541740734013,1,1,1,0.0,30.76923076923075,4,4.703392039375649,0.0,36,23,59,73.0,21.0,0.2191780821917808,9.950248756218905,1,0,0,0.0,0.0,0.0,0.0,0.0,0.415925531860156,1,1
3,2026-09-22,2026-09-23,600641,先导基电,43.74,10.010060362173046,0.20667295309450376,previous_trading_day_state,10.010060362173046,18.858695652173928,39.6551724137931,44.1186161449753,39.03369357914812,1.3574044523451192,1,1,1,0.0,49.23234390992837,5,10.395085300723336,2.812071330589858,36,23,59,73.0,21.0,0.2191780821917808,6.916498993963782,0,1,0,2.8934368383909836,0.0,0.0,0.0,0.5200593139639486,0.9813264412427398,0,1
4,2026-09-22,2026-09-23,000676,智度股份,7.45,10.044313146233396,0.19883952200365676,previous_trading_day_state,10.044313146233396,10.044313146233396,12.70801815431164,4.195804195804187,10.698365527488862,1.0520918540842612,1,1,0,0.0,12.70801815431164,4,3.071567999593563,5.637583892617449,36,23,59,73.0,21.0,0.2191780821917808,8.419497784342699,0,1,0,1.4986376021798309,0.7380952380952372,4.409672830725464,0.7380952380952372,1.8541854776837379,3.07871967376984,1,1
5,2026-09-22,2026-09-23,605058,澳弘电子,53.27,9.993805492463359,0.1846622218762648,previous_trading_day_state,9.993805492463359,9.24938474159147,32.18362282878413,85.41594152453882,98.17708333333334,2.4066197777463043,1,1,1,0.0,97.66233766233768,4,15.018667144133063,10.45616669795382,36,23,59,73.0,21.0,0.2191780821917808,0.14453850918851874,0,0,1,9.83505154639175,0.14362657091561887,1.6771488469601525,0.14362657091561887,1.8551532051462085,2.7817281916051537,0,1
6,2026-09-22,2026-09-23,605258,协和电子,42.16,9.99217323245498,0.15343903800093306,previous_trading_day_state,9.99217323245498,12.787586944890306,16.948682385575587,38.411030860144436,48.817507942110836,1.5158816358963734,1,1,1,0.0,45.37931034482759,4,7.433344147062923,9.06072106261858,36,23,59,73.0,21.0,0.2191780821917808,1.6436211844508275,0,0,1,8.213552361396292,0.16230366492146558,1.617110067814287,0.16230366492146558,1.7253431142850602,1.29389997135703,0,1
7,2026-09-22,2026-09-23,603221,爱丽家居,33.55,9.999999999999986,0.12656930475570644,previous_trading_day_state,9.999999999999986,7.222754873761583,14.818617385352484,21.95565249000362,24.62852897473995,1.1338557549908557,1,1,1,0.0,28.494829567215607,3,7.007629056255979,8.435171385991055,36,23,59,73.0,21.0,0.2191780821917808,0.721311475409836,0,0,1,9.212239583333325,0.0,0.0,0.0,1.3291920557533952,0.9624064283775774,0,1
8,2026-09-22,2026-09-23,002768,国恩股份,74.86,10.007347538574574,0.1254908486037569,previous_trading_day_state,10.007347538574574,14.780742103649192,21.191516917597532,23.307527590182843,21.664228831464328,1.2639012128635432,1,1,1,0.0,24.414159880339035,5,5.561437305238245,9.15041410633181,36,23,59,73.0,21.0,0.2191780821917808,0.0,0,0,1,10.007347538574574,0.005839416058393004,0.0588148801646593,0.005839416058393004,2.0885890589591827,1.892396744786599,0,1
9,2026-09-22,2026-09-23,002757,南兴股份,19.86,10.027700831024934,0.12386960359956992,previous_trading_day_state,10.027700831024934,13.22690992018245,14.203565267395057,12.521246458923518,23.97003745318351,0.9060659055983509,1,1,1,0.0,26.09523809523808,4,3.7422961795510896,8.308157099697878,36,23,59,73.0,21.0,0.2191780821917808,2.160664819944591,0,0,1,7.700650759219085,0.13939393939393976,1.2630422844590816,0.13939393939393976,2.402172504973249,1.9943544636662454,0,1
10,2026-09-22,2026-09-23,002564,天沃科技,5.45,10.1010101010101,0.12366445888872842,previous_trading_day_state,10.1010101010101,12.836438923395455,10.323886639676116,0.7393715341959428,23.303167420814486,0.7259560048222731,1,0,1,0.0,21.651785714285698,3,3.8337648225234133,8.807339449541292,36,23,59,73.0,21.0,0.2191780821917808,1.0101010101010166,0,0,1,9.000000000000007,0.06250000000000046,0.6036217303823088,0.06250000000000046,2.210996370106511,0.8758537790383192,0,1
