rank,date,prediction_date,code,name,price,change_pct,score,ret_1d,ret_3d,ret_5d,ret_10d,ret_20d,volume_5_vs_20,close_above_ma20,ma5_gt_ma10,ma10_gt_ma20,near_high20_pct,above_low20_pct,up_days_5,volatility_10d,amplitude_1d,market_first_count,market_2plus_count,market_zt_count,prev_market_first_count,prev_market_2plus_count,prev_market_1to2_rate,open_gap_pct,open_gap_band_high,open_gap_band_mid,open_gap_band_low,open_to_close_pct,lower_wick_ratio,intraday_pullback_pct,open_position_in_day,amplitude_vs_20d,volume_vs_20d,near_limit_open,close_near_high
1,2026-09-18,2026-09-21,001376,百通能源,12.66,9.991,0.4337329973097727,9.991311902693312,7.928388746803061,8.950086058519812,9.42091616248919,22.793404461687672,0.9569067711236049,1,1,1,0.0,22.67441860465116,2,2.538238076110145,0.0,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,9.991311902693312,1,0,0,0.0,0.0,0.0,0.0,0.0,0.8479604273285262,1,1
2,2026-09-18,2026-09-21,603686,福龙马,15.47,10.028,0.4142972475302373,10.028449502133707,10.342368045649074,18.908531898539582,12.755102040816336,22.00315457413251,1.9964485080575076,1,1,1,0.0,24.35691318327975,4,4.386945347699422,2.197802197802197,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,10.028449502133707,1,0,0,0.0,1.0,2.2471910112359605,1.0,0.6670330793985355,1.0213567942555515,1,1
3,2026-09-18,2026-09-21,601579,会稽山,32.84,10.017,0.19249348873054756,10.016750418760466,27.533980582524276,39.15254237288137,36.43539675945162,75.99142550911043,0.9772899462933041,1,1,1,0.0,69.89136057941028,4,9.505544253619387,8.31303288672352,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.8710217755443894,0,0,1,9.066755230820345,0.0,0.0,0.0,1.1999464807215792,0.8846506497314336,0,1
4,2026-09-18,2026-09-21,601086,国芳集团,16.06,10.0,0.17189143699227655,9.999999999999986,-0.8029647930821615,-1.7737003058104106,26.956521739130412,113.84820239680424,1.4527334184498724,1,1,1,-10.728182323513058,115.8602150537634,3,7.019332193513642,13.262764632627642,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,-3.356164383561644,0,0,1,13.819985825655557,0.08450704225352103,1.2921751615218913,0.08450704225352103,2.0950408514997347,1.867065647097125,0,1
5,2026-09-18,2026-09-21,002631,德尔未来,13.23,9.975,0.15676554518539035,9.975062344139651,29.578844270323202,39.85200845665962,20.163487738419626,38.67924528301889,1.2167811020297836,1,1,1,0.0,51.546391752577314,4,8.412820652979912,9.297052154195013,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.9975062344139696,0,0,1,8.888888888888879,0.12195121951219537,1.2499999999999956,0.12195121951219537,1.4166703949487083,2.039496674316825,0,1
6,2026-09-18,2026-09-21,603353,和顺石油,48.55,9.991,0.1561549742231579,9.99093792478476,17.157335907335902,23.694267515923563,43.08871205422928,58.349641226353555,1.3202495906648293,1,1,1,0.0,60.86812458581841,4,7.8800079284043285,10.401647785787842,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,-1.4499320344358857,0,0,1,11.609195402298834,0.0,0.0,0.0,1.57886095482605,1.3721419649074387,0,1
7,2026-09-18,2026-09-21,001212,中旗新材,37.98,9.991,0.1560505754187151,9.99131190269329,7.076402593741182,19.28391959798994,13.339301700984784,12.700296735905026,1.815569030170649,1,1,1,0.0,19.28391959798994,4,4.731944530840789,8.636124275934687,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.8688097306689846,0,0,1,9.043927648578798,0.039634146341462104,0.37463976945244504,0.039634146341462104,2.1088055526911194,2.2611690803823983,0,1
8,2026-09-18,2026-09-21,603138,海量数据,15.57,10.035,0.15416750520049954,10.035335689045933,4.8484848484848575,5.846363018354861,1.5655577299412915,20.510835913312686,1.5584738270919019,1,1,1,0.0,23.96496815286624,2,2.892342010930803,7.642903018625559,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,1.8374558303887012,0,0,1,8.049965301873696,0.02521008403361292,0.20862308762168436,0.02521008403361292,1.6769366418152445,1.3641741778155465,0,1
9,2026-09-18,2026-09-21,600343,航天动力,21.67,10.0,0.15170675706937384,10.000000000000009,8.56713426853708,11.413881748071987,18.80482456140353,18.35062807209178,1.3549042753664426,1,1,1,0.0,21.741573033707873,4,4.014936690501648,8.398707891093679,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,0.7614213197969733,0,0,1,9.16876574307306,0.0,0.0,0.0,2.1215879585736777,1.4116443222069008,0,1
10,2026-09-18,2026-09-21,603316,诚邦股份,16.69,10.02,0.14909280780204942,10.019775873434412,6.441326530612246,8.871493803000652,25.300300300300304,18.790035587188612,1.9097201564685915,1,1,1,0.0,25.300300300300304,3,4.986234268396824,8.088675853804682,62,11,73,61.51393899639226,12.789603148573303,0.16185320352130533,2.0435069215557045,0,0,1,7.8165374677002575,0.10370370370370402,0.9126466753585527,0.10370370370370402,1.7554663736640723,2.43423201600227,0,1
